"Genus"	"Species"	"Author"	"GUID"	"Source"	"Notes..errors..synonyms..undescribed.etc."	"Taxon.name..computed."
"1"	"Anagnota"	"sp."	"Becker 1902"	"urn:lsid:faunaeur.org:taxname:59574"	"Fauna Europaea"	NA	"Anagnota sp."
"2"	"Anagnota"	"bicolor"	"(Meigen, 1838)"	"https://www.dyntaxa.se/taxon/info/241696"	"Dyntaxa"	NA	"Anagnota bicolor"
"3"	"Anthomyza"	"sp."	"Fallen 1810"	"urn:lsid:faunaeur.org:taxname:59544"	"Fauna Europaea"	NA	"Anthomyza sp."
"4"	"Anthomyza"	"anderssoni"	"Rohácek, 1984"	"https://www.dyntaxa.se/taxon/info/241697"	"Dyntaxa"	NA	"Anthomyza anderssoni"
"5"	"Anthomyza"	"collini"	"Andersson, 1976"	"https://www.dyntaxa.se/taxon/info/241698"	"Dyntaxa"	NA	"Anthomyza collini"
"6"	"Anthomyza"	"dissors"	"Collin, 1944"	"https://www.dyntaxa.se/taxon/info/241699"	"Dyntaxa"	NA	"Anthomyza dissors"
"7"	"Anthomyza"	"dorsata"	"Collin, 1944"	"https://www.dyntaxa.se/taxon/info/241700"	"Dyntaxa"	NA	"Anthomyza dorsata"
"8"	"Anthomyza"	"elbergi"	"Andersson, 1976"	"https://www.dyntaxa.se/taxon/info/241701"	"Dyntaxa"	NA	"Anthomyza elbergi"
"9"	"Anthomyza"	"gracilis"	"Fallén, 1823"	"https://www.dyntaxa.se/taxon/info/241702"	"Dyntaxa"	NA	"Anthomyza gracilis"
"10"	"Anthomyza"	"macra"	"Czerny, 1928"	"https://www.dyntaxa.se/taxon/info/241703"	"Dyntaxa"	NA	"Anthomyza macra"
"11"	"Anthomyza"	"neglecta"	"Collin, 1944"	"https://www.dyntaxa.se/taxon/info/241704"	"Dyntaxa"	NA	"Anthomyza neglecta"
"12"	"Anthomyza"	"pallida"	"(Zetterstedt, 1838)"	"https://www.dyntaxa.se/taxon/info/241705"	"Dyntaxa"	"Corrected from \"Anthomyza palida\" (wrong spelling?) by Pelle"	"Anthomyza pallida"
"13"	"Anthomyza"	"paraneglecta"	"Elberg, 1968"	"https://www.dyntaxa.se/taxon/info/241706"	"Dyntaxa"	NA	"Anthomyza paraneglecta"
"14"	"Anthomyza"	"pleuralis"	"Czerny, 1928"	"https://www.dyntaxa.se/taxon/info/241707"	"Dyntaxa"	NA	"Anthomyza pleuralis"
"15"	"Anthomyza"	"socculata"	"(Zetterstedt, 1847)"	"https://www.dyntaxa.se/taxon/info/241708"	"Dyntaxa"	" Corrected from \"Arganthomyza socculata (Zetterstedt, 1847)\" (wrong spelling?) by Pelle"	"Anthomyza socculata"
"16"	"Anthomyza"	"cingulata"	"Haliday"	"https://www.dyntaxa.se/taxon/info/250173"	"Dyntaxa"	NA	"Anthomyza cingulata"
"17"	"Fungomyza"	"sp."	"Rohacek 1999"	"urn:lsid:faunaeur.org:taxname:59566"	"Fauna Europaea"	NA	"Fungomyza sp."
"18"	"Fungomyza"	"albimana"	"(Meigen, 1830)"	"https://www.dyntaxa.se/taxon/info/241709"	"Dyntaxa"	NA	"Fungomyza albimana"
"19"	"Paranthomyza"	"sp."	"Czerny 1902"	"urn:lsid:faunaeur.org:taxname:59562"	"Fauna Europaea"	NA	"Paranthomyza sp."
"20"	"Paranthomyza"	"nitida"	"(Meigen, 1838)"	"https://www.dyntaxa.se/taxon/info/241711"	"Dyntaxa"	NA	"Paranthomyza nitida"
"21"	"Stiphrosoma"	"sp."	"Czerny 1928"	"urn:lsid:faunaeur.org:taxname:59547"	"Fauna Europaea"	NA	"Stiphrosoma sp."
"22"	"Stiphrosoma"	"laetum"	"(Meigen, 1830)"	"https://www.dyntaxa.se/taxon/info/241712"	"Dyntaxa"	NA	"Stiphrosoma laetum"
"23"	"Stiphrosoma"	"sabulosum"	"(Haliday, 1837)"	"https://www.dyntaxa.se/taxon/info/241713"	"Dyntaxa"	NA	"Stiphrosoma sabulosum"
"24"	"Typhamyza"	"sp."	"Rohacek 1992"	"urn:lsid:faunaeur.org:taxname:59543"	"Fauna Europaea"	NA	"Typhamyza sp."
"25"	"Typhamyza"	"bifasciata"	"(Wood, 1911)"	"https://www.dyntaxa.se/taxon/info/241714"	"Dyntaxa"	NA	"Typhamyza bifasciata"
"26"	"Carexomyza"	"sp."	"Roháček, 2009"	"https://www.dyntaxa.se/taxon/info/6002502"	"Dyntaxa"	NA	"Carexomyza sp."
"27"	"Carexomyza"	"caricis"	"(Rohacek, 1999)"	"https://www.dyntaxa.se/taxon/info/241710"	"Dyntaxa"	NA	"Carexomyza caricis"
