"Genus"	"Species"	"Author"	"GUID"	"Notes..errors..synonyms..undescribed.etc."	"Source"	"Taxon.name..computed."
"1"	"Hendelia"	"sp."	"Czerny, 1903"	"http://www.faunaeur.org/full_results.php?id=61149"	NA	"Fauna Europaea"	"Hendelia sp."
"2"	"Hendelia"	"beckeri"	"Czerny, 1903"	"http://dyntaxa.se/taxon/info/101062"	NA	"Dyntaxa"	"Hendelia beckeri"
"3"	"Clusia"	"sp."	"Haliday, 1838"	"http://www.faunaeur.org/full_results.php?id=61136"	NA	"Fauna Europaea"	"Clusia sp."
"4"	"Clusia"	"tigrina"	"(Fallén, 1820)"	"http://dyntaxa.se/taxon/info/101504"	NA	"Dyntaxa"	"Clusia tigrina"
"5"	"Clusia"	"flava"	"(Meigen, 1830)"	"http://dyntaxa.se/taxon/info/240413"	NA	"Dyntaxa"	"Clusia flava"
"6"	"Clusiodes"	"sp."	"Coquillet, 1904"	"http://www.faunaeur.org/full_results.php?id=61152"	NA	"Fauna Europaea"	"Clusiodes sp."
"7"	"Clusiodes"	"albimanus"	"(Meigen, 1830)"	"http://dyntaxa.se/taxon/info/240414"	NA	"Dyntaxa"	"Clusiodes albimanus"
"8"	"Clusiodes"	"apicalis"	"(Zetterstedt, 1848)"	"http://dyntaxa.se/taxon/info/240415"	NA	"Dyntaxa"	"Clusiodes apicalis"
"9"	"Clusiodes"	"caledonicus"	"(Collin, 1912)"	"http://dyntaxa.se/taxon/info/240416"	NA	"Dyntaxa"	"Clusiodes caledonicus"
"10"	"Clusiodes"	"freyi"	"Tuomikoski, 1933"	"http://dyntaxa.se/taxon/info/240417"	NA	"Dyntaxa"	"Clusiodes freyi"
"11"	"Clusiodes"	"geomyzinus"	"(Fallén, 1823)"	"http://dyntaxa.se/taxon/info/240418"	NA	"Dyntaxa"	"Clusiodes geomyzinus"
"12"	"Clusiodes"	"pictipes"	"(Zetterstedt, 1855)"	"http://dyntaxa.se/taxon/info/240420"	NA	"Dyntaxa"	"Clusiodes pictipes"
"13"	"Clusiodes"	"ruficollis"	"(Meigen, 1830)"	"http://dyntaxa.se/taxon/info/240421"	NA	"Dyntaxa"	"Clusiodes ruficollis"
"14"	"Clusiodes"	"verticalis"	"(Collin, 1912)"	"http://dyntaxa.se/taxon/info/240422"	NA	"Dyntaxa"	"Clusiodes verticalis"
"15"	"Heteromeringia"	"sp."	"Czerny, 1903"	"http://www.faunaeur.org/full_results.php?id=61138"	NA	"Fauna Europaea"	"Heteromeringia sp."
"16"	"Heteromeringia"	"nigrimana"	"(Loew, 1864)"	"http://dyntaxa.se/taxon/info/240423"	NA	"Dyntaxa"	"Heteromeringia nigrimana"
"17"	"Clusiodes"	"sp 1"	"Coquillet, 1904"	NA	"Cl. caledonicus/gentilis"	"taxonomist's notes"	"Clusiodes sp 1"
"18"	"Clusiodes"	"sp 2"	"Coquillet, 1904"	NA	"Cl. apicalis/pictipes"	"taxonomist's notes"	"Clusiodes sp 2"
