"Genus"	"Species"	"Author"	"GUID"	"Notes"	"Source"	"Taxon.name..computed."
"1"	"Netelia"	"sp."	"Gray, 1860"	"https://www.dyntaxa.se/taxon/info/1014895"	NA	"Dyntaxa"	"Netelia sp."
"2"	"Netelia"	"cristata"	"(Thomson, 1888)"	"https://www.dyntaxa.se/taxon/info/256173"	NA	"Dyntaxa"	"Netelia cristata"
"3"	"Netelia"	"latungula"	"(Thomson, 1888)"	"https://www.dyntaxa.se/taxon/info/256174"	NA	"Dyntaxa"	"Netelia latungula"
"4"	"Netelia"	"virgata"	"(Geoffroy, 1785)"	"https://www.dyntaxa.se/taxon/info/256175"	NA	"Dyntaxa"	"Netelia virgata"
"5"	"Netelia"	"dilatata"	"(Thomson, 1888)"	"https://www.dyntaxa.se/taxon/info/256176"	NA	"Dyntaxa"	"Netelia dilatata"
"6"	"Netelia"	"fuscicornis"	"(Holmgren, 1860)"	"https://www.dyntaxa.se/taxon/info/256177"	NA	"Dyntaxa"	"Netelia fuscicornis"
"7"	"Netelia"	"melanura"	"(Thomson, 1888)"	"https://www.dyntaxa.se/taxon/info/256178"	NA	"Dyntaxa"	"Netelia melanura"
"8"	"Netelia"	"ocellaris"	"(Thomson, 1888)"	"https://www.dyntaxa.se/taxon/info/256179"	NA	"Dyntaxa"	"Netelia ocellaris"
"9"	"Netelia"	"opacula"	"(Thomson, 1888)"	"https://www.dyntaxa.se/taxon/info/256180"	NA	"Dyntaxa"	"Netelia opacula"
"10"	"Netelia"	"testacea"	"(Gravenhorst, 1829)"	"https://www.dyntaxa.se/taxon/info/256181"	NA	"Dyntaxa"	"Netelia testacea"
"11"	"Netelia"	"vinulae"	"(Scopoli, 1763)"	"https://www.dyntaxa.se/taxon/info/256182"	NA	"Dyntaxa"	"Netelia vinulae"
"12"	"Netelia"	"nigricarpus"	"(Thomson, 1888)"	"https://www.dyntaxa.se/taxon/info/256183"	"syn: Netelia nigricarpa"	"Dyntaxa"	"Netelia nigricarpus"
"13"	"Netelia"	"caucasica"	"Kokujev, 1899"	"https://www.dyntaxa.se/taxon/info/256184"	NA	"Dyntaxa"	"Netelia caucasica"
"14"	"Netelia"	"tarsatus"	"(Brischke, 1880)"	"https://www.dyntaxa.se/taxon/info/256185"	"Syn. Netelia tarsata"	"Dyntaxa"	"Netelia tarsatus"
"15"	"Netelia"	"thomsoni"	"Brauns, 1889"	"https://www.dyntaxa.se/taxon/info/256186"	NA	"Dyntaxa"	"Netelia thomsoni"
"16"	"Netelia"	"inedita"	"(Kokujev, 1899)"	"https://data.nbn.org.uk/Taxa/NHMSYS0000900503"	"syn: Netelia (Paropheltes) thomsonii"	"NBN Gateway"	"Netelia inedita"
"17"	"Netelia"	"pallescens"	"(Schmiedeknecht 1910)"	"urn:lsid:faunaeur.org:taxname:329584"	"Netelia (Bessobates) pallescens"	"Fauna Europaea"	"Netelia pallescens"
"18"	"Netelia"	"terebrator"	"(Ulbricht 1922)"	"http://www.faunaeur.org/full_results.php?id=329628"	"Netelia (Paropheltes) terebrator"	"Fauna Europaea"	"Netelia terebrator"
"19"	"Netelia"	"tarsata"	"(Brischke, 1880)"	"http://data.artsdatabanken.no/Taxon/74855"	"wrong gender (tarsatus) in Dyntaxa"	"Artsdatabanken"	"Netelia tarsata"
