file;records
1;SMTP_Acartophthalmidae_VN.xls;358
2;SMTP_Adeliinae.xls;140
3;SMTP_Adelognathinae.xls;503
4;SMTP_Anomaloninae_HS.xls;32
5;SMTP_Anthomyzidae.xls;201
6;SMTP_Anthomyzidae2_JR.xls;348
7;SMTP_Asilidae.xls;269
8;SMTP_Asteiidae_PW.xls;151
9;SMTP_Auchenorrhyncha.xls;2171
10;SMTP_Aulacidae_MF.xls;1
11;SMTP_Aulacigastridae.xls;73
12;SMTP_Banchinae_MR.xls;218
13;SMTP_BethylidaeMF.xls;13
14;SMTP_Brachycyrtinae_PM.xls;10
15;SMTP_Chloropidae_EPN.xls;1419
16;SMTP_Chrysididae.xls;41
17;SMTP_Clusiidae.xls;54
18;SMTP_Coleoptera.xls;4629
19;SMTP_Coleoptera2.xls;389
20;SMTP_Conopidae_FOE.xls;87
21;SMTP_Crabronidae.xls;56
22;SMTP_Dermaptera_JH.xls;102
23;SMTP_Diacritinae_PM.xls;97
24;SMTP_Diadocidia_SM1.xls;44
25;SMTP_Diadocidia_SM2.xls;49
26;SMTP_Diadociidae_etc_JK.xls;34
27;SMTP_Diplazontinae_LF.xls;2788
28;SMTP_Ditomyiidae_SM.xls;9
29;SMTP_Dixidae_S_Martinsson.xls;11
30;SMTP_Dolichopodidae_1.xls;33776
31;SMTP_Dolichopodidae_2.xls;9372
32;SMTP_Drosophilidae_GB.xls;7405
33;SMTP_Dryinidae_MO.xls;427
34;SMTP_Dryomyzidae.xls;85
35;SMTP_Dryomyzidae2.xls;91
36;SMTP_Embolemidae_MO.xls;53
37;SMTP_Eulophidae_CH_ES.xls;189
38;SMTP_Eumeninae_JA_UW_2013.xls;16
39;SMTP_Eumeninae_JA.xls;37
40;SMTP_Eupelmidae_LF1.xls;21
41;SMTP_Eupelmidae_LF2.xls;597
42;SMTP_Evaniidae_JP.xls;325
43;SMTP_Figitidae1.xls;1094
44;SMTP_Formicidae.xls;147
45;SMTP_GasteruptiidaeKvA.xls;10
46;SMTP_GasteruptiidaeNJ.xls;39
47;SMTP_Geometridae_C.xls;103
48;SMTP_Heleomyzidae1.xls;4915
49;SMTP_Heloridae_C_EM.xls;136
50;SMTP_Hesperiidae_C.xls;7
51;SMTP_Ichneumoninae_1of3_MR.xls;3465
52;SMTP_Ichneumoninae_2of3_MR.xls;2091
53;SMTP_Ichneumoninae_3of3_MR.xls;103
54;SMTP_Ismaridae_MK1.xls;224
55;SMTP_Ismaridae_MK2.xls;36
56;SMTP_Lauxaniidae.xls;352
57;SMTP_Lonchaeidae_v2.xls;386
58;SMTP_Macrolepidoptera_0602_ML.xls;190
59;SMTP_MeteoriniC.xls;1322
60;SMTP_Methochidae.xls;4
61;SMTP_Microlepidoptera_0602_ML.xls;923
62;SMTP_Milichiidae_1.xls;603
63;SMTP_Milichiidae_2.xls;135
64;SMTP_Muscidae_SL.xls;565
65;SMTP_Mutillidae.xls;34
66;SMTP_Mycetobiidae_SM.xls;6
67;SMTP_Mycetophilidae_etc.xls;825
68;SMTP_Mymar.xls;13
69;SMTP_Myrmosidae.xls;110
70;SMTP_Netelia_GB.xls;40
71;SMTP_Noctuidae_C.xls;55
72;SMTP_Odiniidae_PW.xls;6
73;SMTP_Odonata_RH.xls;79
74;SMTP_Odonata_SH.xls;37
75;SMTP_Pachyneuridae.xls;10
76;SMTP_Pallopteridae_PW.xls;231
77;SMTP_Papilionoidea_C.xls;66
78;SMTP_Phoridae1.xls;9186
79;SMTP_Phoridae2.xls;5713
80;SMTP_Phoridae3.xls;14272
81;SMTP_Phoridae4.xls;5482
82;SMTP_Phoridae5.xls;209
83;SMTP_Phoridae6.xls;9270
84;SMTP_Phrudinae_MK.xls;460
85;SMTP_Phrudinae2.xls;28
86;SMTP_Pimplinae.xls;1731
87;SMTP_Pimplinae2.xls;493
88;SMTP_Piophilidae_PW.xls;1064
89;SMTP_Platygastridae_PNB_twooftwo.xls;318
90;SMTP_Platygastridae_PNB.xls;2694
91;SMTP_Plecoptera_AG.xls;3097
92;SMTP_Poemeniinae_Kanders.xls;10
93;SMTP_Poemeniinae_Varga.xls;47
94;SMTP_Pompilidae_JA.xls;1571
95;SMTP_Pompilidae_JA2.xls;733
96;SMTP_Rhyssinae.xls;5
97;SMTP_Sapygidae.xls;1
98;SMTP_Sciomyzidae.xls;1023
99;SMTP_Sepsidae_RM.xls;5223
100;SMTP_Strepsiptera_1_RH.xls;170
101;SMTP_Strepsiptera_2.xls;29
102;SMTP_Strepsiptera_C_MH.xls;9
103;SMTP_Symphyta_1.xls;1411
104;SMTP_Symphyta_2.xls;1501
105;SMTP_Syrphidae.xls;134
106;SMTP_Tephritoidea_JS.xls;495
107;SMTP_Tersilochinae_PM.xls;25
108;SMTP_Therevidae.xls;37
109;SMTP_Thysanoptera_Sverre_Kobro02.xls;1528
110;SMTP_Tiphiidae.xls;55
111;SMTP_Trichoptera_AG.xls;3313
112;SMTP_Trichoptera_KAJ.xls;235
113;SMTP_Trixoscelididae.xls;245
114;SMTP_Vespinae_UW.xls;216
115;SMTP_Vespinae_WE.xls;24
116;SMTP_Xoridinae_MR.xls;109
117;SMTP_Xoridinae_Varga.xls;6
